id,name,URL
91845,Heung-min Son,/heung-min-son/profil/spieler/91845
148455,Mohamed Salah,/mohamed-salah/profil/spieler/148455
51152,Aleksandar Mitrović,/aleksandar-mitrovi%C4%87/profil/spieler/51152
3455,Zlatan Ibrahimović,/zlatan-ibrahimovi%C4%87/profil/spieler/3455
118535,Will Keane,/will-keane/profil/spieler/118535
237125,Famara Diédhiou,/famara-diedhiou/profil/spieler/237125
333782,Dom Telford,/dom-telford/profil/spieler/333782
411439,Kévin Fortuné,/kevin-fortune/profil/spieler/411439
278501,Paul Mullin,/paul-mullin/profil/spieler/278501
98264,Farid Beziouen,/farid-beziouen/profil/spieler/98264
526347,Macaulay Langstaff,/macaulay-langstaff/profil/spieler/526347
28003,Lionel Messi,/lionel-messi/profil/spieler/28003
143044,Joselu Moreno,/joselu-moreno/profil/spieler/143044
44352,Luis Suárez,/luis-suarez/profil/spieler/44352
145769,Sergio León,/sergio-leon/profil/spieler/145769
57935,Álvaro Giménez,/alvaro-gimenez/profil/spieler/57935
342229,Kylian Mbappé,/kylian-mbappe/profil/spieler/342229
227961,Jaime Mata,/jaime-mata/profil/spieler/227961
93678,Gaëtan Charbonnier,/gaetan-charbonnier/profil/spieler/93678
38253,Robert Lewandowski,/robert-lewandowski/profil/spieler/38253
59323,Cristhian Stuani,/cristhian-stuani/profil/spieler/59323
281614,Kévin Rocheteau,/kevin-rocheteau/profil/spieler/281614
36284,Simon Terodde,/simon-terodde/profil/spieler/36284
263692,Rufo Sánchez,/rufo-sanchez/profil/spieler/263692
565060,Pape Ibnou Ba,/pape-ibnou-ba/profil/spieler/565060
50782,Justin Eilers,/justin-eilers/profil/spieler/50782
82011,Markus Ziereis,/markus-ziereis/profil/spieler/82011
114408,David Braig,/david-braig/profil/spieler/114408
92700,Patrick Richter,/patrick-richter/profil/spieler/92700
48280,Edinson Cavani,/edinson-cavani/profil/spieler/48280
259025,Umut Bozok,/umut-bozok/profil/spieler/259025
262022,Jamal Thiaré,/jamal-thiare/profil/spieler/262022
210332,Said Id Azza,/said-id-azza/profil/spieler/210332
61005,Koro Koné,/koro-kone/profil/spieler/61005
450051,Alexandre Ramalingom,/alexandre-ramalingom/profil/spieler/450051
253842,Adama Niane,/adama-niane/profil/spieler/253842
594991,Mohamed Bayo,/mohamed-bayo/profil/spieler/594991
399553,Andrew Jung,/andrew-jung/profil/spieler/399553
315102,Sébastien Persico,/sebastien-persico/profil/spieler/315102
162038,Raúl de Tomás,/raul-de-tomas/profil/spieler/162038
146854,Wissam Ben Yedder,/wissam-ben-yedder/profil/spieler/146854
384060,Tino Kadewere,/tino-kadewere/profil/spieler/384060
238627,Achille Anani,/achille-anani/profil/spieler/238627
314891,Geoffray Durbant,/geoffray-durbant/profil/spieler/314891
18922,Karim Benzema,/karim-benzema/profil/spieler/18922
85324,Borja Bastón,/borja-baston/profil/spieler/85324
101500,Matej Vydra,/matej-vydra/profil/spieler/101500
35413,Lewis Grabban,/lewis-grabban/profil/spieler/35413
268746,Jack Marriott,/jack-marriott/profil/spieler/268746
123292,Billy Kee,/billy-kee/profil/spieler/123292
133397,Andy Cook,/andy-cook/profil/spieler/133397
238185,Rhys Healey,/rhys-healey/profil/spieler/238185
693637,Pape Meïssa Ba,/pape-meissa-ba/profil/spieler/693637
518927,Jordan Popineau,/jordan-popineau/profil/spieler/518927
132098,Harry Kane,/harry-kane/profil/spieler/132098
108725,Chris Wood,/chris-wood/profil/spieler/108725
58864,Pierre-Emerick Aubameyang,/pierre-emerick-aubameyang/profil/spieler/58864
120565,Andre Gray,/andre-gray/profil/spieler/120565
49542,Billy Sharp,/billy-sharp/profil/spieler/49542
106676,Will Grigg,/will-grigg/profil/spieler/106676
69749,John Akinde,/john-akinde/profil/spieler/69749
200512,Sadio Mané,/sadio-mane/profil/spieler/200512
130395,John Marquis,/john-marquis/profil/spieler/130395
67237,Matty Taylor,/matty-taylor/profil/spieler/67237
46972,Teemu Pukki,/teemu-pukki/profil/spieler/46972
241680,Dan Holman,/dan-holman/profil/spieler/241680
106119,Ricky Miller,/ricky-miller/profil/spieler/106119
62640,James Collins,/james-collins/profil/spieler/62640
123198,James Norwood,/james-norwood/profil/spieler/123198
191202,Danny Rowe,/danny-rowe/profil/spieler/191202
251664,Ivan Toney,/ivan-toney/profil/spieler/251664
158631,Jonson Clarke-Harris,/jonson-clarke-harris/profil/spieler/158631
197838,Jamie Vardy,/jamie-vardy/profil/spieler/197838
68335,Eoin Doyle,/eoin-doyle/profil/spieler/68335
231602,Scott Quigley,/scott-quigley/profil/spieler/231602
105521,Ciro Immobile,/ciro-immobile/profil/spieler/105521
194549,Simy,/simy/profil/spieler/194549
62735,Pietro Iemmello,/pietro-iemmello/profil/spieler/62735
160849,Saveriano Infantino,/saveriano-infantino/profil/spieler/160849
226010,Riccardo Ravasi,/riccardo-ravasi/profil/spieler/226010
229413,Francesco Casolla,/francesco-casolla/profil/spieler/229413
28396,Edin Dzeko,/edin-dzeko/profil/spieler/28396
19447,Giampaolo Pazzini,/giampaolo-pazzini/profil/spieler/19447
8198,Cristiano Ronaldo,/cristiano-ronaldo/profil/spieler/8198
61478,Pablo González,/pablo-gonzalez/profil/spieler/61478
72491,Riccardo Bocalon,/riccardo-bocalon/profil/spieler/72491
33763,Massimo Coda,/massimo-coda/profil/spieler/33763
274760,Simone Simeri,/simone-simeri/profil/spieler/274760
240206,Jacopo Manconi,/jacopo-manconi/profil/spieler/240206
175788,Andrea Magrassi,/andrea-magrassi/profil/spieler/175788
202965,Mario Chessa,/mario-chessa/profil/spieler/202965
39153,Gonzalo Higuaín,/gonzalo-higuain/profil/spieler/39153
130394,Gianluca Lapadula,/gianluca-lapadula/profil/spieler/130394
168550,Andrea Brighenti,/andrea-brighenti/profil/spieler/168550
105676,Carlo Ferrario,/carlo-ferrario/profil/spieler/105676
381687,Carlos França,/carlos-franca/profil/spieler/381687
68863,Mauro Icardi,/mauro-icardi/profil/spieler/68863
199617,Tommy Maistrello,/tommy-maistrello/profil/spieler/199617
84765,Francesco Caputo,/francesco-caputo/profil/spieler/84765
222210,Dardan Vuthaj,/dardan-vuthaj/profil/spieler/222210
22155,Daniele Vantaggiato,/daniele-vantaggiato/profil/spieler/22155
398670,Luca Di Renzo,/luca-di-renzo/profil/spieler/398670
22328,Fabio Quagliarella,/fabio-quagliarella/profil/spieler/22328
130485,Alfredo Donnarumma,/alfredo-donnarumma/profil/spieler/130485
6020,Francesco Tavano,/francesco-tavano/profil/spieler/6020
199199,Bryan Gioè,/bryan-gioe/profil/spieler/199199
80059,Serdar Dursun,/serdar-dursun/profil/spieler/80059
17689,Sascha Mölders,/sascha-molders/profil/spieler/17689
447861,Fabian Eberle,/fabian-eberle/profil/spieler/447861
111298,Lukas Riglewski,/lukas-riglewski/profil/spieler/111298
52532,Mijo Tunjic,/mijo-tunjic/profil/spieler/52532
78147,Fabian Klos,/fabian-klos/profil/spieler/78147
154819,Kwasi Wriedt,/kwasi-wriedt/profil/spieler/154819
39396,Christian Beck,/christian-beck/profil/spieler/39396
50199,Stephan Hain,/stephan-hain/profil/spieler/50199
451375,Patrick Lauble,/patrick-lauble/profil/spieler/451375
